id,type,agency,program_type,name,address1,address2,address3,city,state,zip,lat,lon,geo_accuracy,contact_first_name,contact_last_name,date_first_record,date_recent_record,notes,phone,fax,url,email,created_at,updated_at
202,ORR Affiliated Facility,,Staff Secure,BCFS Fairfield,,,,,,,,,,,,2015-10-06,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:10.318500+00:00
204,ORR Affiliated Facility,,Shelter,BCFS Raymondville,,,,,,,,,,,,2015-10-09,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:10.658900+00:00
205,ORR Affiliated Facility,,Long Term Foster Care,BCFS San Antonio LTFC,,,,,,,,,,,,2011-11-04,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:10.828100+00:00
206,ORR Affiliated Facility,,Staff Secure,BCFS San Antonio Staff Secure,,,,,,,,,,,,2015-04-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:11.000800+00:00
207,ORR Affiliated Facility,,Shelter,Bethany Christian Services Shelter,,,,,,,,,,,,2015-10-20,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:11.170700+00:00
208,ORR Affiliated Facility,,Transitional Foster Care,Bethany Christian Services TFC,,,,,,,,,,,,2015-10-09,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:11.360500+00:00
209,ORR Affiliated Facility,,Long Term Foster Care,Bethany LIRS,,,,,,,,,,,,2016-04-20,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:11.529400+00:00
210,ORR Affiliated Facility,,Long Term Foster Care,Bethany USCCB,,,,,,,,,,,,2016-02-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:11.699000+00:00
211,ORR Affiliated Facility,,Shelter,Board of Child Care Shelter,,,,,,,,,,,,2017-07-04,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:11.869800+00:00
212,ORR Affiliated Facility,,Transitional Foster Care,Board of Child Care TFC,,,,,,,,,,,,2017-08-20,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:12.038000+00:00
213,ORR Affiliated Facility,,Transitional Foster Care,Bokenkamp TFC,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:12.207800+00:00
214,ORR Affiliated Facility,,Shelter,Brazoria County Youth Homes,,,,,,,,,,,,2015-10-04,2016-01-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:12.401600+00:00
215,ORR Affiliated Facility,,Shelter,Camp Bruceville,,,,,,,,,,,,2014-04-30,2014-05-26,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:12.574500+00:00
216,ORR Affiliated Facility,,Shelter,Cardinal McCloskey,,,,,,,,,,,,2015-10-16,2017-02-01,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:12.745300+00:00
218,ORR Affiliated Facility,,Long Term Foster Care,Catholic Family Center,,,,,,,,,,,,2015-12-16,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:13.091700+00:00
219,ORR Affiliated Facility,,Shelter,Catholic Guardian Services,,,,,,,,,,,,2015-10-07,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:13.269300+00:00
221,ORR Affiliated Facility,,Long Term Foster Care,Catholic Guardian Services LTFC,,,,,,,,,,,,2016-08-13,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:13.620400+00:00
222,ORR Affiliated Facility,,Transitional Foster Care,Catholic Guardian Services TFC,,,,,,,,,,,,2015-10-21,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:13.790900+00:00
223,ORR Affiliated Facility,,Long Term Foster Care,Cayuga Centers LTFC,,,,,,,,,,,,2016-02-24,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:13.960700+00:00
224,ORR Affiliated Facility,,Long Term Foster Care,CC Fort Worth LTFC,,,,,,,,,,,,2016-08-12,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:14.130000+00:00
225,ORR Affiliated Facility,,Shelter,CC Fort Worth Shelter,,,,,,,,,,,,2015-10-11,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:14.316500+00:00
226,ORR Affiliated Facility,,Transitional Foster Care,CC Fort Worth TFC,,,,,,,,,,,,2017-08-03,2018-02-07,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:14.488700+00:00
227,ORR Affiliated Facility,,Shelter,CC Houston,,,,,,,,,,,,2015-04-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:14.666400+00:00
228,ORR Affiliated Facility,,Long Term Foster Care,CC Houston LTFC,,,,,,,,,,,,2015-11-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:14.837100+00:00
229,ORR Affiliated Facility,,Long Term Foster Care,CC Phoenix LTFC,,,,,,,,,,,,2015-09-20,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:15.011200+00:00
230,ORR Affiliated Facility,,Transitional Foster Care,CC Phoenix TFC,,,,,,,,,,,,2015-10-01,2016-08-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:15.183500+00:00
232,ORR Affiliated Facility,,Transitional Foster Care,CCS Tacoma TFC,,,,,,,,,,,,2015-10-04,2016-05-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:15.536000+00:00
233,ORR Affiliated Facility,,Shelter,Center for Family Services Shelter,,,,,,,,,,,,2017-08-28,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:15.718300+00:00
234,ORR Affiliated Facility,,Transitional Foster Care,Childrens Ctr Pelican Island TFC,,,,,,,,,,,,2015-11-29,2015-12-21,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:15.892800+00:00
235,ORR Affiliated Facility,,Shelter,Childrens Home of Kingston,,,,,,,,,,,,2015-10-11,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:16.065500+00:00
236,ORR Affiliated Facility,,Shelter,Childrens Village Shelter,,,,,,,,,,,,2015-04-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:16.248000+00:00
237,ORR Affiliated Facility,,Staff Secure,Childrens Village SS,,,,,,,,,,,,2015-04-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:16.421200+00:00
239,ORR Affiliated Facility,,Long Term Foster Care,Crittenton LTFC,,,,,,,,,,,,2014-06-12,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:16.762700+00:00
240,ORR Affiliated Facility,,Long Term Foster Care,David and Margaret LTFC,,,,,,,,,,,,2017-07-31,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:16.934800+00:00
241,ORR Affiliated Facility,,Shelter,Fort Bliss - Dona Ana,,,,,,,,,,,,2016-08-01,2017-07-08,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:17.101800+00:00
242,ORR Affiliated Facility,,Long Term Foster Care,Friends of Youth Colin Ferguson,,,,,,,,,,,,2014-04-30,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:17.280500+00:00
243,ORR Affiliated Facility,,Long Term Foster Care,Friends of Youth LTFC,,,,,,,,,,,,2015-04-08,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:17.458300+00:00
244,ORR Affiliated Facility,,Therapeutic Staff Secure,Friends of Youth Matsen,,,,,,,,,,,,2014-04-30,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:17.628700+00:00
245,ORR Affiliated Facility,,Therapeutic Staff Secure,Friends of Youth McEachern,,,,,,,,,,,,2016-02-04,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:17.810200+00:00
246,ORR Affiliated Facility,,Shelter,Galveston Multicultural Institute,,,,,,,,,,,,2015-10-01,2016-01-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:17.989500+00:00
247,ORR Affiliated Facility,,Shelter,Heartland CHAP,,,,,,,,,,,,2015-10-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:18.160500+00:00
248,ORR Affiliated Facility,,Shelter,Heartland Guadalupe,,,,,,,,,,,,2014-04-30,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:18.341000+00:00
249,ORR Affiliated Facility,,Staff Secure,Heartland International Youth Center,,,,,,,,,,,,2015-10-23,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:18.516300+00:00
250,ORR Affiliated Facility,,Shelter,Heartland Intl Childrens Center,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:18.686300+00:00
251,ORR Affiliated Facility,,Shelter,Heartland Intl Childrens RC,,,,,,,,,,,,2015-08-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:18.861800+00:00
252,ORR Affiliated Facility,,Shelter & Therapeutic Staff Secure,Heartland SCIY,,,,,,,,,,,,2014-03-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:19.040500+00:00
253,ORR Affiliated Facility,,Shelter,Holy Family Institute,,,,,,,,,,,,2017-07-06,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:19.209800+00:00
254,ORR Affiliated Facility,,Transitional Foster Care,Holy Family Institute TFC ,,,,,,,,,,,,2018-05-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:19.394500+00:00
255,ORR Affiliated Facility,,Shelter,Homestead,,,,,,,,,,,,2016-06-23,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:19.568100+00:00
256,ORR Affiliated Facility,,Transitional Foster Care,IES Brownsville,,,,,,,,,,,,2015-10-01,2018-03-27,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:19.741300+00:00
257,ORR Affiliated Facility,,Shelter,IES Casa Norma Linda,,,,,,,,,,,,2016-08-17,2018-03-16,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:19.915000+00:00
192,ORR Affiliated Facility,,Shelter,A New Leaf – Peterson,,,,,,,,,,,,2016-08-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:08.555800+00:00
270,ORR Affiliated Facility,,Shelter,Leake and Watts,,,,,,,,,,,,,,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-10 19:44:58.934400+00:00
273,ORR Affiliated Facility,,Shelter,Lincoln Hall Boys Haven,,,,,,,,,,,,,,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-10 19:44:58.934400+00:00
298,ORR Affiliated Facility,,Secure,Shenandoah Valley Juvenile Center,,,,,,,,,,,,,,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-10 19:44:58.934400+00:00
308,ORR Affiliated Facility,,Shelter,Southwest Key Casa Padre,,,,,,,,,,,,,,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-10 19:44:58.934400+00:00
260,ORR Affiliated Facility,,Transitional Foster Care,IES Hidalgo,,,,,,,,,,,,2015-10-03,2018-03-26,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:20.450400+00:00
261,ORR Affiliated Facility,,Shelter,IES Los Fresnos,,,,,,,,,,,,2014-03-14,2018-03-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:20.620400+00:00
262,ORR Affiliated Facility,,Transitional Foster Care,IES Palm Valley,,,,,,,,,,,,2015-10-01,2018-03-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:20.792400+00:00
264,ORR Affiliated Facility,,Transitional Foster Care,IES Weslaco,,,,,,,,,,,,2015-10-01,2018-03-26,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:21.144000+00:00
266,ORR Affiliated Facility,,Long Term Foster Care,JCCA,,,,,,,,,,,,2015-08-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:21.505700+00:00
267,ORR Affiliated Facility,,Shelter,KidsPeace,,,,,,,,,,,,2015-10-05,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:21.675900+00:00
268,ORR Affiliated Facility,,Long Term Foster Care,KidsPeace LTFC,,,,,,,,,,,,2016-01-31,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:21.844700+00:00
269,ORR Affiliated Facility,,Shelter,Lackland AFB,,,,,,,,,,,,2014-04-30,2014-07-07,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:22.019400+00:00
271,ORR Affiliated Facility,,Long Term Foster Care,Leake and Watts LTFC,,,,,,,,,,,,2016-01-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:22.379500+00:00
272,ORR Affiliated Facility,,Transitional Foster Care,Leake and Watts TFC,,,,,,,,,,,,2015-10-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:22.551300+00:00
274,ORR Affiliated Facility,,Long Term Foster Care,LIRS Ascentria Care Alliance,,,,,,,,,,,,2014-03-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:22.897800+00:00
276,ORR Affiliated Facility,,Transitional Foster Care,LSS Foster Care El Paso,,,,,,,,,,,,2015-10-01,2016-05-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:23.240600+00:00
277,ORR Affiliated Facility,,Shelter,LSS of New York,,,,,,,,,,,,2015-10-08,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:23.417900+00:00
278,ORR Affiliated Facility,,Transitional Foster Care,LSS of New York TFC,,,,,,,,,,,,2015-10-11,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:23.594900+00:00
279,ORR Affiliated Facility,,Shelter,LSSS New Hope,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:23.765900+00:00
280,ORR Affiliated Facility,,Long Term Foster Care,Lutheran Social Svcs of Michigan,,,,,,,,,,,,2016-04-04,2016-04-04,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:23.936500+00:00
281,ORR Affiliated Facility,,Shelter,Maryville Academy,,,,,,,,,,,,2017-07-06,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:24.108100+00:00
282,ORR Affiliated Facility,,Residential Treatment Center,Mercy First RTC,,,,,,,,,,,,2014-03-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:24.284700+00:00
283,ORR Affiliated Facility,,Shelter,MercyFirst,,,,,,,,,,,,2014-03-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:24.451300+00:00
284,ORR Affiliated Facility,,Shelter,Morrison Downtown,,,,,,,,,,,,2015-10-08,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:24.632200+00:00
285,ORR Affiliated Facility,,Staff Secure,Morrison Downtown Staff Secure,,,,,,,,,,,,2015-12-22,2015-12-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:24.805700+00:00
286,ORR Affiliated Facility,,Long Term Foster Care,Morrison LTGH,,,,,,,,,,,,2016-08-10,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:24.982000+00:00
287,ORR Affiliated Facility,,Staff Secure,Morrison Paso,,,,,,,,,,,,2015-10-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:25.154400+00:00
288,ORR Affiliated Facility,,Transitional Foster Care,Morrison TFC,,,,,,,,,,,,2015-10-04,2016-08-26,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:25.334600+00:00
289,ORR Affiliated Facility,,Shelter,Noank,,,,,,,,,,,,2017-03-29,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:25.503300+00:00
290,ORR Affiliated Facility,,Secure,Nova,,,,,,,,,,,,2015-08-05,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:25.673900+00:00
291,ORR Affiliated Facility,,Staff Secure,NOVA Staff Secure,,,,,,,,,,,,2015-08-05,2016-04-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:25.854300+00:00
292,ORR Affiliated Facility,,Transitional Foster Care,Nuevo Amanecer LCS,,,,,,,,,,,,2015-10-05,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:26.023800+00:00
293,ORR Affiliated Facility,,Shelter,Rite of Passage - Canyon,,,,,,,,,,,,2017-02-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:26.195300+00:00
294,ORR Affiliated Facility,,Shelter,Rite of Passage - Sycamore,,,,,,,,,,,,2017-06-26,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:26.377400+00:00
295,ORR Affiliated Facility,,Long Term Foster Care,Samaritas,,,,,,,,,,,,2016-06-06,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:26.548700+00:00
296,ORR Affiliated Facility,,Staff Secure,Selma Carson Home,,,,,,,,,,,,2015-10-05,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:26.715800+00:00
297,ORR Affiliated Facility,,Shelter,Seton Home,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:26.898800+00:00
299,ORR Affiliated Facility,,Residential Treatment Center,Shiloh Treatment Center,,,,,,,,,,,,2014-04-30,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:27.236600+00:00
300,ORR Affiliated Facility,,Shelter,Southwest Key Antigua,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:27.412800+00:00
301,ORR Affiliated Facility,,Shelter,Southwest Key Campbell,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:27.584600+00:00
302,ORR Affiliated Facility,,Shelter,Southwest Key Canutillo,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:27.759800+00:00
303,ORR Affiliated Facility,,Shelter,Southwest Key Casa Franklin,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:27.934700+00:00
304,ORR Affiliated Facility,,Shelter,Southwest Key Casa Houston,,,,,,,,,,,,2015-01-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:28.118900+00:00
306,ORR Affiliated Facility,,Shelter,Southwest Key Casa Lighthouse,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:28.468500+00:00
307,ORR Affiliated Facility,,Shelter,Southwest Key Casa Montezuma,,,,,,,,,,,,2016-08-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:28.641000+00:00
309,ORR Affiliated Facility,,Shelter,Southwest Key Casa Phoenix,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:29.009000+00:00
310,ORR Affiliated Facility,,Shelter,Southwest Key Casa Quetzal,,,,,,,,,,,,2016-04-22,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:29.214300+00:00
312,ORR Affiliated Facility,,Shelter,Southwest Key Combes,,,,,,,,,,,,2015-10-04,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:29.565300+00:00
313,ORR Affiliated Facility,,Shelter,Southwest Key Conroe,,,,,,,,,,,,2015-10-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:29.748800+00:00
314,ORR Affiliated Facility,,Shelter,Southwest Key El Cajon,,,,,,,,,,,,2015-10-01,2017-05-04,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:29.926000+00:00
315,ORR Affiliated Facility,,Shelter,Southwest Key Estrella,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:30.101900+00:00
316,ORR Affiliated Facility,,Shelter,Southwest Key Glendale,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:30.304500+00:00
317,ORR Affiliated Facility,,Shelter,Southwest Key Las Palmas,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:30.480900+00:00
318,ORR Affiliated Facility,,Shelter,Southwest Key Lemon Grove,,,,,,,,,,,,2015-10-01,2017-05-05,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:30.663000+00:00
319,ORR Affiliated Facility,,Staff Secure,Southwest Key Mesa,,,,,,,,,,,,2015-10-21,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:30.842100+00:00
320,ORR Affiliated Facility,,Shelter,Southwest Key Mesa Shelter,,,,,,,,,,,,2015-10-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:31.018900+00:00
321,ORR Affiliated Facility,,Shelter,Southwest Key Nueva Esperanza,,,,,,,,,,,,2014-10-22,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:31.197600+00:00
322,ORR Affiliated Facility,,Shelter,Southwest Key Pleasant Hill,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:31.394600+00:00
324,ORR Affiliated Facility,,Shelter,Southwest Key San Diego,,,,,,,,,,,,2017-01-11,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:31.741100+00:00
325,ORR Affiliated Facility,,Shelter,Southwest Key Sol,,,,,,,,,,,,2015-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:31.920700+00:00
326,ORR Affiliated Facility,,Shelter,St. PJs Childrens Home,,,,,,,,,,,,2014-10-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:32.097800+00:00
259,ORR Affiliated Facility,,Transitional Foster Care,IES Harlingen,,,,,,,,,,,,2015-10-01,2018-03-27,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:20.279000+00:00
338,ORR Affiliated Facility,,Secure,Yolo County Juvenile Detention,,,,,,,,,,,,,,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-10 19:44:58.934400+00:00
339,ORR Affiliated Facility,,Shelter,Youth For Tomorrow,,,,,,,,,,,,,,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-10 19:44:58.934400+00:00
329,ORR Affiliated Facility,,Staff Secure,SWK Processing Center Staff Secure,,,,,,,,,,,,2016-10-18,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:32.675400+00:00
330,ORR Affiliated Facility,,Shelter,The Villages,,,,,,,,,,,,2017-07-14,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:32.850200+00:00
331,ORR Affiliated Facility,,Shelter,Tumbleweed (DO NOT USE),,,,,,,,,,,,2015-07-31,2017-06-14,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:33.027600+00:00
332,ORR Affiliated Facility,,Shelter,Tumbleweed Desert Cove,,,,,,,,,,,,2015-10-25,2016-08-28,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:33.207400+00:00
333,ORR Affiliated Facility,,Shelter,Tumbleweed Mountain View,,,,,,,,,,,,2015-10-25,2017-08-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:33.392600+00:00
334,ORR Affiliated Facility,,Shelter,Tumbleweed Willetta,,,,,,,,,,,,2015-10-25,2017-02-04,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:33.572300+00:00
335,ORR Affiliated Facility,,Transitional Foster Care,Upbring,,,,,,,,,,,,2016-08-01,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:33.748000+00:00
337,ORR Affiliated Facility,,Long Term Foster Care,VisionQuest National,,,,,,,,,,,,2016-05-24,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:34.096400+00:00
340,ORR Affiliated Facility,,Long Term Foster Care,Youth for Tomorrow LTFC,,,,,,,,,,,,2016-08-26,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:34.636100+00:00
11,ORR Affiliated Facility,ORR,ORR Facility,A NEW LEAF,,,,,,,,,,,,2015-10-05,2016-05-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:34.817200+00:00
19,ORR Affiliated Facility,ORR,ORR,BAPTIST CHILD & FAMILY SERVICES,,,,,,,,,,,,2015-12-17,2018-04-17,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:34.992900+00:00
20,ORR Affiliated Facility,ORR,ORR,BAPTIST CHILD & FAMILY SVCS-SNA,,,,,,,,,,,,2017-10-10,2017-10-10,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:35.166200+00:00
23,ORR Affiliated Facility,ORR,ORR Facility,BCFS Chavaneaux,,,,,,,,,,,,2014-04-30,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:35.695600+00:00
24,ORR Affiliated Facility,ORR,ORR Facility,BCFS Harlingen,,,,,,,,,,,,2015-08-10,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:35.881200+00:00
25,ORR Affiliated Facility,ORR,ORR Facility,BCFS San Antonio,,,,,,,,,,,,2015-04-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:36.056000+00:00
26,ORR Affiliated Facility,ORR,ORR Facility,BCFS San Antonio TFC,,,,,,,,,,,,2012-11-12,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:36.226400+00:00
27,ORR Affiliated Facility,ORR,ORR Facility,BCFS SNA,,,,,,,,,,,,2015-08-18,2015-08-18,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:36.408700+00:00
28,ORR Affiliated Facility,ORR,ORR Facility,BCFS TFC,,,,,,,,,,,,2016-04-16,2016-09-09,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:36.584900+00:00
